Name,Category,Base Where,About,Website,Twitter
ETH Shanghai,Conference,China,Annual Ethereum conference in Shanghai,https://ethshanghai.org/hackathon,N/A
ETH Beijing,Conference,China,Annual Ethereum conference in Beijing,https://www.ethbeijing.xyz/,N/A
ETH Hangzhou,Conference,China,Annual Ethereum conference in Hangzhou,https://www.ethhangzhou.xyz/,N/A
ETH Hongkong,Conference,Hongkong,An ethereum conference in Hongkong ,https://www.ethhongkong.co/,https://twitter.com/EthereumHK
"Call for Paper, under Taipei Ethereum Meetup",Education,Taiwan ,Technical Blog about ethereum maintained by community members from Taipei Ethereum Meetup ,https://medium.com/taipei-ethereum-meetup,N/A
solidity.tw,Education,Taiwan ,Solidity course ,https://www.youtube.com/watch?v=fpA2yxLKU5o&list=PLHmOMPRfmOxQYDnXAc1hKY6ra4WDU8ZlM,N/A
"Fudan University, Blockchain Club","Education,Blockchain Club",China,Blockchain Club at Fudan University,https://www.fudanblockchain.club/,N/A
"Peking University, Blockchain Club","Education,Blockchain Club",China,Blockchain Club at Peking University ,N/A,https://twitter.com/pkublockchain
"National University of Singapore, Blockchain under NUS Fintech Society ","Education,Blockchain Club",Singapore,Blockchain Club at NUS,https://fintechsociety.comp.nus.edu.sg/departments/blockchain,N/A
"Nanyang Technological University, Blockchain Club","Education,Blockchain Club",Singapore,Blockchain Club at NTU,https://www.ntu.edu.sg/cctf/cctf-community/blockchain@ntu,N/A
"Singapore Management University, Blockchain Club","Education,Blockchain Club",Singapore,Blockchain Club at SMU,https://www.smublockchainclub.com,https://twitter.com/smu_blockchain
"Singapore University of Technology and Design, Blockchain Technology course","Education,Blockchain Club",Singapore,"A course about Blockchain Tehcnology, covering bitcoin and Ethereum foundations",https://istd.sutd.edu.sg/undergraduate/courses/50037-blockchain-technology/,https://twitter.com/SUTDBlockchain
"Asia Pacific University of Technology & Innovation, Blockchain Club","Education,Blockchain Club",Malaysia,Blockchain Club at APU,https://apubcc.org,https://twitter.com/apubcc
Sunway University ,"Education,Blockchain Club",Malaysia,Blockchain Club at SU,https://sunwayblockchain.com/en,https://x.com/SunwayBCC
"Nanyang Technological University, Master of Science in Blockchain ","Education,Master Program",Singapore,"Master of Science in Blockchain Program at NTU, covering blockchain and its applications ",https://www.ntu.edu.sg/cctf/ace-ntu/education-trust/master-of-science-in-blockchain,N/A
"Hong Kong Polytechnic University, Master of Science in Blockchain Technology","Education,Master Program",Hongkong, The first MSc in Blockchain Technology (MScBT) in Hong Kong,https://www.polyu.edu.hk/en/comp/study/taught-postgraduate-programme/msc-bt/,N/A
"Peking University, Blockchain Technology and Applications","Education,Course",China,A course about blockchain technology and applications,http://zhenxiao.com/blockchain/,N/A
"Tsinghua Univeristy, Blockchain and Cryptocurrency","Education,Course",China,A MOOC about blockchain and cryptocurrency fundamentals ,https://www.xuetangx.com/course/thu12021002731/19318701,N/A
"National Chengchi University, Ethereum DApp Development course ","Education,Course",Taiwan ,Open Source course on Ethereum DApp Development at NCCU by prof Gong Chen and Changwu Chen,https://docs.google.com/document/d/16V3HBwE78-vOex58P8s59TMxifhQi85_-whUd1ACd40/edit,N/A
"National Yang Ming Chiao Tung University, Blockchain Development and FinTech","Education,Course",Taiwan ,A course for blockchain development ,https://bdaf.notion.site/Blockchain-Development-and-FinTech-fe3524ca2f3544dcb0555514bcc901e5,N/A
Curia Labs ,DAO Tooling,Thailand ,Curia Lab develops and refines data-driven tools for DAO governance,https://www.curialab.xyz/,https://twitter.com/Curia_gov
Mest,On-chain Data Analytics,China,A simple and open platform for sharing blockchain transactions. ,https://mest.io/,https://twitter.com/mest_io
DeBank ,On-chain Data Analytics,"China,Singapore","Web3 portfolio tracker that covers all tokens, DeFi protocols, NFTs across all EVM chains",https://debank.com,https://twitter.com/DeBankDeFi
